listing_id,date,comments,sentiment_score,sentiment_category
21034869,2018-09-06,Simple yet  cozy and beautiful! Will definitely come back😊,0.9281503558158875,Positive
14035516,2017-03-23,1 step from MST ON-NUT and Tesco Lotus. Very convenient for traveling and shopping. The appartment quite clean and neat. Host 's really kind too. Thank you very much Jeenie.,0.8799439668655396,Positive
1961981,2016-07-04,"Was a clean and good hostel. Easy to find and the wifi works! Prime location, I ran around Lumphini park and navigated to the MRT easily.<br/>May not be good for travellers with suitcases... My dorm was on the 4th floor and the staircase was narrow (read: no lifts)<br/>Staff were very helpful and there was a 7/11 right around the corner :)",0.6977813243865967,Positive
4471377,2016-09-08,Evan ist a great and kind host who is seriously doing the best to satisfy his guests needs!! I sent him quite a few messages on air bnb and all his responds came just within minutes and he didn't leave any question I had open. <br/>The rooms are exactly how described: clean and basic - all I needed. <br/>The location is great: just 10 min walking from the MRT (Metro).<br/>For me the best thing was that Evan writes prompt and proper messages to any question you might have in a foreign country you don't know.<br/>Good value for money. Great and reliable host who speaks proper English!,0.3537907004356384,Positive
1214430467817108194,2025-12-15,An amazing view from the 31st floor in one of the most iconic buildings in Bangkok! The apartment is spacious and we definitely felt right at home there. The host was very responsive and every tiny problem was solved very quickly. We'll be back!,0.8713825345039368,Positive
754907399713834456,2023-03-26,Very Nice place<br/>I Will book this again if im in Bangkok,0.8584569096565247,Positive
8136447,2022-10-21,Good value and spacious. Located in a very local area. Some walk from the BTS.,0.7424057126045227,Positive
37577344,2019-10-27,位置挺好的，打车也方便,0.5952447056770325,Positive
23996683,2018-05-08,Will definitely stay with JP again. Great host and loved the location.,0.9286108016967773,Positive
38554711,2019-10-03,房间干净整洁，比较舒适，适合一家人旅行入驻。,0.7088699340820312,Positive
38166896,2023-04-22,The location is perfect. It is a bright nice condo with nice gym and neighbours.,0.9064457416534424,Positive
1264970911415610989,2025-05-20,주변에 먹을거리가 많고 특히 수영장이 끝내줍니다.<br/>헬스장도 2개나 있어 좋습니다.<br/>숙소 뷰도 훌륭합니다<br/>주인분이 너무 친절해서 좋았습니다.,0.8570330739021301,Positive
25884903,2025-04-27,Good host that answers fast and very flexible and respectful.,0.8158159852027893,Positive
702703205735229823,2025-10-25,"Really enjoyed my stay! The host was very kind, responsive and helpful with everything 🤍<br/>The location is great, the apartment is clean and well maintained, everything was just perfect 😊 I’ll definitely come back again! Highly recommend!",0.9268026351928711,Positive
18191329,2018-10-14,We arrived late at the hostel but the place was easy to find and everything went smoothly. The staff were super helpful and accommodating. I would recommend,0.8253244757652283,Positive
1515963330354376069,2026-01-20,"It was tucked into a local neighborhood which was very quiet. It is a nice place to get a good rest, away from the busyness of Bangkok! A lot of great places within walking distance to check out. The host was very responsive and we were able to check in early to our room which was awesome 🤩 the place was very clean and tidy, would definitely stay here again!",0.8478026390075684,Positive
868669306861689271,2023-07-28,"yeepoon is very helpful and quick response <br/>the condo is clean and comfortable.<br/>the swimming pool of the condo is stunning<br/>there are many nice restaurants nearby.<br/>overall, it is a very good experience at yeepoon condo.",0.7982987761497498,Positive
42559934,2025-03-24,"The apartment was clean, the washing machine and dryer were extremely old.",-0.6330080032348633,Negative
861501956383518362,2024-07-17,"Buen alojamiento si quieres alojarte cerca del aeropuerto. Fueron muy simpáticas y nos acogieron muy rápido, ayudándonos incluso con las maletas. La habitación y el baño estaban genial, el mejor de los 5 alojamientos que hemos estado en Tailandia. Tienen incluso un descansillo común con café y galletas para coger.",0.8568287491798401,Positive
1319332020749542951,2025-06-04,Lovely host. Thank you,0.914178192615509,Positive
1172369914640715032,2025-11-02,入住体验很好 安静 安全 方便,0.7474300265312195,Positive
39244890,2022-01-15,Still I still do not know to this day why I was released from that apartment the only reason you can give me is due to the pressure from the police because I have a stalker that I did not want the person to be inside my apartment afterwards because she was crazy and after the fact she found nothing so I’m gonna write the biggest complaint and we’re going all the way up to the head of Airbnb for this I promise you I am going to take your apartment off of the listing and you’re going to pay huge fine for what you did I swear I’m a United States soldier special operations 100% disabled at 27 years old you do not even apologize to me or help me carry down my bags you just sat there and you help the police and at the end she did not even find what she was looking for so there was nothing to kick me out for except for trying to be left alone and cause no problems if I find out from Airbnb that what you did was illegal I’m going to sue you so find a lawyer very quickly so you kick me out for no reason which I am so furious about that I’m going to write letter to the highest authority of Airbnb plus I have a meeting already at 9 o’clock to discuss what happened I don’t know what you’re going to tell them but I already have a police report and she did not even find what she was looking for at the end you kick me out for no reason and we have a problem now I’m going to put experience that I’ve ever had inside my life because of you I had to even go to a hotel for the night and Airbnb had to apologize how dare you do this to somebody who paid you good money and did nothing I had a stalker and you allowed the stalker to win over the police to open my door by canceling my reservation and THEY FOUND NOTHING of her items NOTHING. I highly recommend that you find other accommodations for the same price because it is too expensive to go there and have to be harassed by the manager it’s insane,-0.7937931418418884,Negative
12377325,2018-05-28,房东很热情  中文交流非常方便   楼下就有711  买东西很方便,0.6202219128608704,Positive
1169243870857427432,2024-07-01,good,0.18741077184677124,Positive
13667706,2018-05-29,Harnpon’s place had everything I needed and he was extremely helpful as I was getting set up. The apartment is near a market and close to the BTS Skyline to get around. I recommend this place to anyone looking to stay in Bangkok,0.8370247483253479,Positive
1015864841383293740,2025-01-25,"**Horrible experience.** This was my first time staying for two weeks, and not once during the entire two weeks did they clean the room. And then they had the audacity to demand 600 THB for cleaning? This is nothing short of a scam. I’ve traveled to many countries around the world, stayed in hostels, and even five-star hotels. Even in expensive countries, I’ve never been asked to pay 600 THB for cleaning. Maybe they’re really desperate for money. If they had cleaned the room even once or twice a week, I wouldn’t have been so furious. But to go two full weeks without a single cleaning is absolutely outrageous. In the U.S., housekeepers earn around 500 THB per hour. Maybe their housekeeping staff is the best in the world—otherwise, I can’t think of any reason why they’d be so neglectful. This is, without a doubt, the most deceitful host I’ve encountered in my travels across 25 countries.",-0.8359792828559875,Negative
1619420899586380811,2026-03-06,"Nous tenons à remercier chaleureusement notre hôte pour son accueil exceptionnel. Toujours attentive et disponible, elle a su rendre notre séjour à l’hôtel particulièrement agréable. Sa bienveillance et son professionnalisme nous ont permis de nous sentir à l’aise dès notre arrivée. Nous garderons un excellent souvenir de cette expérience et reviendrons avec grand plaisir.",0.9371076822280884,Positive
803323117332636656,2024-12-09,"입실하자마자 바퀴벌레랑 마주쳤고 청소상태 더럽고 시트도 수건도 깨끗하지 않아요. <br/>매일 청소를 해주시는게 아니라 청소 요청시에 수수료 500바트,수건은 100바트 요구 합니다. 호스트가 소통은 적극적으로 해줘요. <br/>세면대 배수문제 샤워실 배수문제가 있었고, <br/>위치는 진짜 주변에 편의시설 및 대중교통 <br/>이용할만한데가 없어서 불편했어요. <br/>가격 생각하면 납득할 수도 있겠지만 <br/>이보다 나은 위치와 청결도를 가진 숙소도 <br/>태국에는 많기에 굳이 추천은 못하겠습니다.",-0.22229599952697754,Negative
1199766951146638885,2024-09-08,"Great location, very near the BTS. The room was perfect for a quick trip to Bangkok for 2 people.",0.8646870255470276,Positive
801308742153367091,2024-11-27,很棒很親切👍,0.762179970741272,Positive
8832107,2020-01-14,"Das Apartment von Nath ist sehr gepflegt und sauber. Wir hatten wöchentliche Reinigung des Apartments und Wäschewechsel. Es liegt super zentral. Einkaufsmöglichkeiten sind sehr gut und auf kurzem Weg zu erreichen. Nath hat bei Fragen umgehend geantwortet und war stets hilfsbereit und erreichbar. Absolut empfehlenswert, wir kommen gerne wieder<br/>Ute und Wolfgang aus Deutschland",0.8750613331794739,Positive
17248425,2017-09-05,"Super good location, quick response. The security ,staff all they are nice. <br/>highly recommend",0.7622699737548828,Positive
16684522,2017-08-11,"Clean place , it's far from the fun part of Bangkok.<br/>It's located in an area where locals live.",0.2835514545440674,Positive
824162983875746922,2023-09-16,Great location in the thick of Khao San road. Great value in my opinion. Easy check in. Smooth all around. Great place to stay for a short trip in Bangkok,0.7852897644042969,Positive
1293181694350011925,2025-09-08,"Ein super super schönes Zimmer um Bangkok zu entdecken. Die Unterkunft ist unfassbar sauber und sehr modern. Auch, dass die Waschmaschine genutzt werden konnte fanden wir super!",0.9285339713096619,Positive
1387511376507275928,2026-02-18,Everything was good. It was quite clean. Nice and peacefull quarter silom with good places for food,0.8362404704093933,Positive
24981583,2019-04-05,很舒服！在寧靜的小巷子裡，出來就有便利商店，和酒吧，不過浴室的水壓有點小。,0.3388189673423767,Positive
9306472,2022-01-02,Bee hosted us well and was good to work with all-around!,0.903629720211029,Positive
643255259478561996,2023-06-21,都非常好，cp值真的很高,0.6999937891960144,Positive
21942959,2025-10-12,"Danke, es war genau so wie beschrieben",0.5720301866531372,Positive
953395228758898095,2024-11-15,Pen always responded very promptly!!,0.838543176651001,Positive
1025664017468808487,2024-02-25,clean & tidy <br/>owner is very nice & helpful,0.7294192910194397,Positive
31664433,2019-03-11,"Unit was better than pictures. Clean, tidy, and despite the old apartment building, unit is newly renovated and very spacious for a 3 bedroom. Included complimentary snack basket which was a nice touch. Quick response from both Darren and Aman. Enjoyed our stay very much and in Soi Sukhumvit 11, right in the middle of restaurant, bar and lounges. Feels like home, highly recommended",0.7603331208229065,Positive
935021472377456788,2025-04-10,"Location is perfect if you know the area. Easy to navigate to where the restaurants and bars are around by foot. Very busy area with traffic therefore night can be disturbing if you want to rest well. Place is nice, smaller than what I expected but of course perfect for one person. It had all what I required and host was reachable and responded in a timely manner whenever I had any questions. Overall my month stay was suitable to my needs as I had my own itinerary. Facilities there would be extra such as gym and pool if you want to use. Thank you for the hospitality.",0.12421557307243347,Positive
